0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:08:08 -0300] "GET /aplicacao-jsp/ServletLogin?acao=Logout HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:08:15 -0300] "POST /aplicacao-jsp/ServletLogin HTTP/1.1" 200 21621
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:30 -0300] "GET /aplicacao-jsp%20/principal/usuario.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:27 -0300] "GET /aplicacao-jsp%20/principal/usuario.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:15:51 -0300] "GET /aplicacao-jsp%20/principal/usuario.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:16:21 -0300] "POST /aplicacao-jsp/ServletLogin HTTP/1.1" 200 21611
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:16:22 -0300] "GET /aplicacao-jsp/assets/images/favicon.ico HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:16:26 -0300] "GET /aplicacao-jsp/principal/usuario.jsp HTTP/1.1" 200 22392
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:17:35 -0300] "GET /aplicacao-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:17:35 -0300] "GET /aplicacao-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:17:35 -0300] "GET /aplicacao-jsp/assets/css/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:20:18 -0300] "GET /aplicacao-jsp/principal/usuario.jsp HTTP/1.1" 200 22415
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:20:51 -0300] "GET /aplicacao-jsp/principal/usuario.jsp HTTP/1.1" 200 22423
